274,JefffMartin,"Wed Dec 18 00:20:34 CST 2013",Philippines,"RT @wimpykim: banana + hazelnut-cocoa spread = ♥"
457,maykikingpanghe,"Wed Dec 18 00:20:40 CST 2013",Philippines,"baboy ka @anntotkimpotpot"
673,yooluckycharm,"Wed Dec 18 00:20:48 CST 2013",Philippines,"RT @thinksarcasm: Me: Okay brain, lets focus for just 45 minutes on this math test we can do this. Brain: DADADA BANANA LALALALALA AFRO SQU…"
832,kaeceekaye,"Wed Dec 18 00:20:53 CST 2013",Philippines,"No more bilbil na sya. Sheet sa Abbs nya. Yum yum! HAHAHAHA."
1144,denicejavier,"Wed Dec 18 12:22:09 CST 2013",Philippines,"Yummy cupcakes from Ms. Jenny :) Nico wants to eat them all! Haha #everydaynicolas #babylove… http://t.co/Eg3AwS3quw"
1314,Jonaslotus,"Wed Dec 18 12:43:26 CST 2013",philippines,"Hayley williams is a fan. X"
1326,Mhiyelleeeee,"Wed Dec 18 12:43:26 CST 2013",Philippines,AAAAA
1333,anneismynamee,"Wed Dec 18 12:43:26 CST 2013",Philippines,"Thinking of someone you love is the most romantic way of wasting your time."
1431,yoursushigirl,"Wed Dec 18 12:43:31 CST 2013",Philippines,"Food. Please. Layo ka muna. Kahit until Friday. Haha."
1666,Mhiyelleeeee,"Wed Dec 18 12:43:40 CST 2013",Philippines,"Ekuman kinabsi"
1700,jsmndlcrz,"Wed Dec 18 12:43:41 CST 2013",Philippines,"Gusto ko na ng bagong cellphone   pls pls pls hahahaha!"
1764,DDenice5SOS,"Wed Dec 18 12:43:44 CST 2013",Philippines,"@Calum5SOS I LOVE YOU SO MUCH xx"
1779,Gourdos,"Wed Dec 18 12:43:45 CST 2013",Philippines,"Shop now for the ANGEL FOOD PAN 7X4-1/2 at our webstore at http://t.co/XKrN75mlec"
1797,dcmadridano,"Wed Dec 18 12:43:45 CST 2013",Philippines,"Thank you TOPL Finance team for your trust and love <3 #goodvibes2014 #catchup #dcwed #dc2 http://t.co/tISZ73Sylo"
